TS_ID,Name,Constant
5485a8684bdc2da71d8b4567,"Ammo",BaseClasses.AMMO
543be5cb4bdc2deb348b4568,"Ammo container",BaseClasses.AMMO_BOX
5b3f15d486f77432d0509248,"UNKNOWN",BaseClasses.ARM_BAND
5448e54d4bdc2dcc718b4568,"Armor",BaseClasses.ARMOR
644120aa86ffbe10ee032b6f,"UNKNOWN",BaseClasses.ARMOR_PLATE
57bef4c42459772e8d35a53b,"Armored equipment",BaseClasses.ARMORED_EQUIPMENT
5447b5fc4bdc2d87278b4567,"Assault carbine",BaseClasses.ASSAULT_CARBINE
5447b5f14bdc2d61278b4567,"Assault rifle",BaseClasses.ASSAULT_RIFLE
55818add4bdc2d5b648b456f,"Assault scope",BaseClasses.ASSAULT_SCOPE
5a74651486f7744e73386dd1,"UNKNOWN",BaseClasses.AUXILIARY_MOD
5448e53e4bdc2d60728b4567,"Backpack",BaseClasses.BACKPACK
555ef6e44bdc2de9068b457e,"Barrel",BaseClasses.BARREL
5448eb774bdc2d0a728b4567,"Barter item",BaseClasses.BARTER_ITEM
57864ee62459775490116fc1,"Battery",BaseClasses.BATTERY
55818afb4bdc2dde698b456d,"Bipod",BaseClasses.BIPOD
57864ada245977548638de91,"Building material",BaseClasses.BUILDING_MATERIAL
65649eb40bf0ed77b8044453,"UNKNOWN",BaseClasses.BUILT_IN_INSERTS
55818a6f4bdc2db9688b456b,"Charging handle",BaseClasses.CHARGE
55818ad54bdc2ddc698b4569,"Reflex sight",BaseClasses.COLLIMATOR
55818acf4bdc2dde698b456b,"Compact reflex sight",BaseClasses.COMPACT_COLLIMATOR
5f4fbaaca5573a5ac31db429,"UNKNOWN",BaseClasses.COMPASS
566162e44bdc2d3f298b4573,"Compound item",BaseClasses.COMPOUND_ITEM
64b69b0c8f3be32ed22682f8,"UNKNOWN",BaseClasses.CULTIST_AMULET
610720f290b75a49ff2e5e25,"UNKNOWN",BaseClasses.CYLINDER_MAGAZINE
5448e8d64bdc2dce718b4568,"Drink",BaseClasses.DRINK
5448f3a14bdc2d27728b4569,"Drug",BaseClasses.DRUGS
57864a66245977548f04a81f,"Electronics",BaseClasses.ELECTRONICS
543be5f84bdc2dd4348b456a,"Equipment",BaseClasses.EQUIPMENT
5a341c4686f77469e155819e,"UNKNOWN",BaseClasses.FACE_COVER
550aa4bf4bdc2dd6348b456b,"Flashhider",BaseClasses.FLASH_HIDER
55818b084bdc2d5b648b4571,"Flashlight",BaseClasses.FLASHLIGHT
6759673c76e93d8eb20b2080,"UNKNOWN",BaseClasses.FLYER
5448e8d04bdc2ddf718b4569,"Food",BaseClasses.FOOD
543be6674bdc2df1348b4569,"Food and drink",BaseClasses.FOOD_DRINK
55818af64bdc2d5b648b4570,"Foregrip",BaseClasses.FOREGRIP
5d650c3e815116009f6201d2,"UNKNOWN",BaseClasses.FUEL
550aa4154bdc2dd8348b456b,"Functional mod",BaseClasses.FUNCTIONAL_MOD
56ea9461d2720b67698b456f,"Gas block",BaseClasses.GASBLOCK
55802f3e4bdc2de7118b4584,"Gear mod",BaseClasses.GEAR_MOD
5447bedf4bdc2d87278b4568,"Grenade launcher",BaseClasses.GRENADE_LAUNCHER
55818a104bdc2db9688b4569,"Handguard",BaseClasses.HANDGUARD
5645bcb74bdc2ded0b8b4578,"Headphones",BaseClasses.HEADPHONES
5a341c4086f77401f2541505,"UNKNOWN",BaseClasses.HEADWEAR
63da6da4784a55176c018dba,"UNKNOWN",BaseClasses.HIDEOUT_AREA_CONTAINER
57864c322459775490116fbf,"Household goods",BaseClasses.HOUSEHOLD_GOODS
5448ecbe4bdc2d60728b4568,"Info",BaseClasses.INFO
55d720f24bdc2d88028b456d,"Inventory",BaseClasses.INVENTORY
55818ac54bdc2d5b648b456e,"Ironsight",BaseClasses.IRON_SIGHT
54009119af1c881c07000029,"UNKNOWN",BaseClasses.ITEM
57864a3d24597754843f8721,"Jewelry",BaseClasses.JEWELRY
543be5e94bdc2df1348b4568,"Key",BaseClasses.KEY
5c99f98d86f7745c314214b3,"UNKNOWN",BaseClasses.KEY_MECHANICAL
5c164d2286f774194c5e69fa,"UNKNOWN",BaseClasses.KEYCARD
5447e1d04bdc2dff2f8b4567,"Knife",BaseClasses.KNIFE
55818b014bdc2ddc698b456b,"UBGL",BaseClasses.LAUNCHER
5671435f4bdc2d96058b4569,"Locking container",BaseClasses.LOCKABLE_CONTAINER
566965d44bdc2d814c8b4571,"Loot container",BaseClasses.LOOT_CONTAINER
57864e4c24597754843f8723,"Lubricant",BaseClasses.LUBRICANT
5447bed64bdc2d97278b4568,"Machinegun",BaseClasses.MACHINE_GUN
5448bc234bdc2d3c308b4569,"Magazine",BaseClasses.MAGAZINE
567849dd4bdc2d150f8b456e,"Map",BaseClasses.MAP
65ddcc7aef36f6413d0829b9,"UNKNOWN",BaseClasses.MARK_OF_UNKNOWN
5447b6194bdc2d67278b4567,"Marksman rifle",BaseClasses.MARKSMAN_RIFLE
55802f4a4bdc2ddb688b4569,"Essential mod",BaseClasses.MASTER_MOD
5448f39d4bdc2d0a728b4568,"Medikit",BaseClasses.MED_KIT
5448f3ac4bdc2dce718b4569,"Medical item",BaseClasses.MEDICAL
57864c8c245977548867e7f1,"Medical supplies",BaseClasses.MEDICAL_SUPPLIES
543be5664bdc2dd4348b4569,"Meds",BaseClasses.MEDS
5448bf274bdc2dfc2f8b456a,"Port. container",BaseClasses.MOB_CONTAINER
5448fe124bdc2da5018b4567,"Weapon mod",BaseClasses.MOD
543be5dd4bdc2deb348b4569,"Money",BaseClasses.MONEY
55818b224bdc2dde698b456f,"Mount",BaseClasses.MOUNT
66abb0743f4d8b145b1612c1,"UNKNOWN",BaseClasses.MULTITOOLS
5448fe394bdc2d0d028b456c,"Muzzle device",BaseClasses.MUZZLE
550aa4dd4bdc2dc9348b4569,"Comb. muzzle device",BaseClasses.MUZZLE_COMBO
5a2c3a9486f774688b05e574,"UNKNOWN",BaseClasses.NIGHT_VISION
55818ae44bdc2dde698b456c,"Scope",BaseClasses.OPTIC_SCOPE
590c745b86f7743cc433c5f2,"UNKNOWN",BaseClasses.OTHER
5447b5cf4bdc2d65278b4567,"Handgun",BaseClasses.PISTOL
55818a684bdc2ddd698b456d,"Pistol grip",BaseClasses.PISTOL_GRIP
6672e40ebb23210ae87d39eb,"UNKNOWN",BaseClasses.PLANTING_KITS
557596e64bdc2dc2118b4571,"Pockets",BaseClasses.POCKETS
61605ddea09d851a0a0c1bbc,"UNKNOWN",BaseClasses.PORTABLE_RANGE_FINDER
62e9103049c018f425059f38,"UNKNOWN",BaseClasses.RADIO_TRANSMITTER
62f109593b54472778797866,"UNKNOWN",BaseClasses.RANDOM_LOOT_CONTAINER
55818a304bdc2db5418b457d,"Receiver",BaseClasses.RECEIVER
616eb7aea207f41933308f46,"UNKNOWN",BaseClasses.REPAIR_KITS
617f1ef5e8b54b0998387733,"UNKNOWN",BaseClasses.REVOLVER
566168634bdc2d144c8b456c,"Searchable item",BaseClasses.SEARCHABLE_ITEM
5447b6094bdc2dc3278b4567,"Shotgun",BaseClasses.SHOTGUN
5448fe7a4bdc2d6f028b456b,"Sights",BaseClasses.SIGHTS
550aa4cd4bdc2dd8348b456c,"Silencer",BaseClasses.SILENCER
5795f317245977243854e041,"Common container",BaseClasses.SIMPLE_CONTAINER
5447b5e04bdc2d62278b4567,"SMG",BaseClasses.SMG
5447b6254bdc2dc3278b4568,"Sniper rifle",BaseClasses.SNIPER_RIFLE
6050cac987d3f925bf016837,"UNKNOWN",BaseClasses.SORTING_TABLE
5447e0e74bdc2d3c308b4567,"Special item",BaseClasses.SPEC_ITEM
55818aeb4bdc2ddc698b456a,"Special scope",BaseClasses.SPECIAL_SCOPE
627a137bf21bc425b06ab944,"UNKNOWN",BaseClasses.SPRING_DRIVEN_CYLINDER
5661632d4bdc2d903d8b456b,"Stackable item",BaseClasses.STACKABLE_ITEM
566abbb64bdc2d144c8b457d,"Stash",BaseClasses.STASH
567583764bdc2d98058b456e,"Stationary cont.",BaseClasses.STATIONARY_CONTAINER
5448f3a64bdc2d60728b456a,"Stimulant",BaseClasses.STIMULATOR
55818a594bdc2db9688b456a,"Stock",BaseClasses.STOCK
55818b164bdc2ddc698b456c,"Comb. tact. device",BaseClasses.TACTICAL_COMBO
5d21f59b6dbe99052b54ef83,"UNKNOWN",BaseClasses.THERMAL_VISION
543be6564bdc2df4348b4568,"Throwable weapon",BaseClasses.THROW_WEAP
57864bb7245977548b3b66c2,"Tool",BaseClasses.TOOL
5448e5284bdc2dcb718b4567,"Chest rig",BaseClasses.VEST
5448e5724bdc2ddf718b4568,"Vis. observ. device",BaseClasses.VISORS
